Jan;56;1;2010
Oliver;56;1;2010
Lorenz;55;1;2010
Thomas;55;1;2010
Gabriel;53;1;2010
Johannes;51;1;2010
Manuel;51;1;2010
Noah;51;1;2010
Christoph;45;1;2010
Andreas;43;1;2010
Clemens;43;1;2010
Kilian;42;1;2010
Stefan;42;1;2010
Adrian;37;1;2010
Jonathan;36;1;2010
Timo;36;1;2010
Max;35;1;2010
Ben;34;1;2010
Konstantin;34;1;2010
Markus;34;1;2010
Bastian;33;1;2010
Mario;32;1;2010
Emil;30;1;2010
Luis;30;1;2010
Patrick;30;1;2010
Philip;30;1;2010
Fabio;28;1;2010
Martin;28;1;2010
Matteo;28;1;2010
Christian;26;1;2010
Kevin;26;1;2010
Emma;179;2;2018
Anna;169;2;2018
Laura;135;2;2018
Marie;130;2;2018
Emilia;119;2;2018
Sophie;116;2;2018
Sophia;111;2;2018
Johanna;109;2;2018
Mia;107;2;2018
Lena;103;2;2018
Lea;101;2;2018
Valentina;98;2;2018
Sarah;92;2;2018
Hannah;84;2;2018
Leonie;82;2;2018
Lara;81;2;2018
Marlene;81;2;2018
Luisa;80;2;2018
Julia;76;2;2018
Amelie;73;2;2018
Lisa;71;2;2018
Hanna;69;2;2018
Theresa;69;2;2018
Elena;68;2;2018
Nora;68;2;2018
Magdalena;63;2;2018
Isabella;59;2;2018
Miriam;58;2;2018
Emily;57;2;2018
Katharina;53;2;2018
Lina;47;2;2018
Ella;42;2;2018
Franziska;41;2;2018
Mila;41;2;2018
Nina;41;2;2018
Viktoria;41;2;2018
Annika;40;2;2018
Olivia;40;2;2018
Sara;39;2;2018
Valerie;39;2;2018
Alina;37;2;2018
Jana;36;2;2018
Rosalie;36;2;2018
Helena;35;2;2018
Klara;35;2;2018
Melina;35;2;2018
Antonia;34;2;2018
Charlotte;34;2;2018
Elisabeth;34;2;2018
Sofia;33;2;2018
Linda;31;2;2018
Paulina;31;2;2018
Clara;30;2;2018
Pia;30;2;2018
Selina;30;2;2018
Elisa;28;2;2018
Flora;28;2;2018
Aurelia;26;2;2018
Fiona;26;2;2018
Lorena;26;2;2018
Anna;208;2;2017
Emma;159;2;2017
Emilia;148;2;2017
Marie;141;2;2017
Sophie;135;2;2017
Lena;122;2;2017
Johanna;116;2;2017
Julia;115;2;2017
Sophia;112;2;2017
Laura;109;2;2017
Mia;101;2;2017
Lea;100;2;2017
Valentina;100;2;2017
Leonie;95;2;2017
Sarah;89;2;2017
Luisa;86;2;2017
Hannah;83;2;2017
Lara;80;2;2017
Marlene;79;2;2017
Elena;67;2;2017
Hanna;64;2;2017
Lisa;64;2;2017
Emily;62;2;2017
Magdalena;62;2;2017
Katharina;60;2;2017
Lina;58;2;2017
Amelie;57;2;2017
Nora;55;2;2017
Alina;53;2;2017
Miriam;52;2;2017
Nina;50;2;2017
Theresa;49;2;2017
Viktoria;46;2;2017
Annika;45;2;2017
Olivia;43;2;2017
Isabella;41;2;2017
Helena;40;2;2017
Sara;40;2;2017
Elina;39;2;2017
Franziska;39;2;2017
Elisa;38;2;2017
Ella;37;2;2017
